experiment protein  msmsID intensity sample group
1 SimulatedProtein1 SimulatedProtein1.Peptide1  5.40184352612 CTL.1 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide1  5.18764675643 CTL.2 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide1  5.18657635198 TRT1.1 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide1  4.57208031233 TRT1.2 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide1  6.0449047594 TRT2.1 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide1  5.97250229319 TRT2.2 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide2  11.8022157261 CTL.1 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide2  12.5108050898 CTL.2 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide2  12.100401168 TRT1.1 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide2  11.7768765387 TRT1.2 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide2  12.7663983721 TRT2.1 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide2  12.8886258509 TRT2.2 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide3  8.6361555677 CTL.1 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide3  8.57156294518 CTL.2 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide3  8.59261934019 TRT1.1 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide3  8.58718864939 TRT1.2 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide3  9.75926668336 TRT2.1 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide3  9.04419232003 TRT2.2 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide4  8.75723078774 CTL.1 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide4  8.7062663413 CTL.2 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide4  8.03158318561 TRT1.1 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide4  9.16571135165 TRT1.2 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide4  9.4473989454 TRT2.1 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide4  8.90350473074 TRT2.2 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide5  8.25958314376 CTL.1 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide5  8.20504344172 CTL.2 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide5  8.12499136267 TRT1.1 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide5  8.23173050922 TRT1.2 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide5  9.15660740426 TRT2.1 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide5  9.22642348403 TRT2.2 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide6  10.758115978 CTL.1 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide6  10.3110676638 CTL.2 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide6  10.2691380956 TRT1.1 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide6  10.6098573266 TRT1.2 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide6  11.1685141302 TRT2.1 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide6  11.4282925858 TRT2.2 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide7  7.3851549463 CTL.1 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide7  7.64980409789 CTL.2 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide7  6.96915968014 TRT1.1 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide7  7.18642051975 TRT1.2 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide7  8.42673309428 TRT2.1 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide7  8.31847640869 TRT2.2 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide8  6.92749472426 CTL.1 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide8  7.45543910997 CTL.2 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide8  7.29336108445 TRT1.1 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide8  6.47957723083 TRT1.2 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide8  7.37139708319 TRT2.1 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide8  7.05454430451 TRT2.2 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide9  7.77207846767 CTL.1 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide9  8.02790769646 CTL.2 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide9  8.28766802025 TRT1.1 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide9  8.03675318803 TRT1.2 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide9  8.75166689214 TRT2.1 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide9  8.45177070002 TRT2.2 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide10  12.4391074402 CTL.1 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide10  12.241188188 CTL.2 CTL
1 SimulatedProtein1 SimulatedProtein1.Peptide10  12.5889881057 TRT1.1 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide10  12.8216203235 TRT1.2 TRT1
1 SimulatedProtein1 SimulatedProtein1.Peptide10  12.823834792 TRT2.1 TRT2
1 SimulatedProtein1 SimulatedProtein1.Peptide10  13.402100499 TRT2.2 TRT2
1 SimulatedProtein2 SimulatedProtein2.Peptide1  6.24960423324 CTL.1 CTL
1 SimulatedProtein2 SimulatedProtein2.Peptide1  7.16203401623 CTL.2 CTL
1 SimulatedProtein2 SimulatedProtein2.Peptide1  6.56329452829 TRT1.1 TRT1
1 SimulatedProtein2 SimulatedProtein2.Peptide1  6.13407296961 TRT1.2 TRT1
1 SimulatedProtein2 SimulatedProtein2.Peptide1  6.5514946635 TRT2.1 TRT2
1 SimulatedProtein2 SimulatedProtein2.Peptide1  6.09326966484 TRT2.2 TRT2
1 SimulatedProtein2 SimulatedProtein2.Peptide2  10.8836458331 CTL.1 CTL
1 SimulatedProtein2 SimulatedProtein2.Peptide2  10.7245211952 CTL.2 CTL
1 SimulatedProtein2 SimulatedProtein2.Peptide2  10.0940771466 TRT1.1 TRT1
1 SimulatedProtein2 SimulatedProtein2.Peptide2  10.1769954335 TRT1.2 TRT1
1 SimulatedProtein2 SimulatedProtein2.Peptide2  10.8344479559 TRT2.1 TRT2
1 SimulatedProtein2 SimulatedProtein2.Peptide2  10.4242889623 TRT2.2 TRT2
1 SimulatedProtein2 SimulatedProtein2.Peptide3  13.3899805321 CTL.1 CTL
1 SimulatedProtein2 SimulatedProtein2.Peptide3  12.8127688141 CTL.2 CTL
1 SimulatedProtein2 SimulatedProtein2.Peptide3  12.332862607 TRT1.1 TRT1
1 SimulatedProtein2 SimulatedProtein2.Peptide3  11.9449177092 TRT1.2 TRT1
1 SimulatedProtein2 SimulatedProtein2.Peptide3  13.1021189058 TRT2.1 TRT2
1 SimulatedProtein2 SimulatedProtein2.Peptide3  13.3687064055 TRT2.2 TRT2
1 SimulatedProtein2 SimulatedProtein2.Peptide4  6.17934001391 CTL.1 CTL
1 SimulatedProtein2 SimulatedProtein2.Peptide4  7.30217473367 CTL.2 CTL
1 SimulatedProtein2 SimulatedProtein2.Peptide4  6.20630990549 TRT1.1 TRT1
1 SimulatedProtein2 SimulatedProtein2.Peptide4  6.4522082113 TRT1.2 TRT1
1 SimulatedProtein2 SimulatedProtein2.Peptide4  6.37660005189 TRT2.1 TRT2
1 SimulatedProtein2 SimulatedProtein2.Peptide4  7.15218482393 TRT2.2 TRT2
1 SimulatedProtein2 SimulatedProtein2.Peptide5  16.8239437527 CTL.1 CTL
1 SimulatedProtein2 SimulatedProtein2.Peptide5  16.2753839649 CTL.2 CTL
1 SimulatedProtein2 SimulatedProtein2.Peptide5  15.5997303416 TRT1.1 TRT1
1 SimulatedProtein2 SimulatedProtein2.Peptide5  15.3903889311 TRT1.2 TRT1
1 SimulatedProtein2 SimulatedProtein2.Peptide5  16.4989612262 TRT2.1 TRT2
1 SimulatedProtein2 SimulatedProtein2.Peptide5  16.5710841604 TRT2.2 TRT2
1 SimulatedProtein3 SimulatedProtein3.Peptide1  10.171655372 CTL.1 CTL
1 SimulatedProtein3 SimulatedProtein3.Peptide1  10.11266635993 CTL.2 CTL
1 SimulatedProtein3 SimulatedProtein3.Peptide1  11.5467249087 TRT1.1 TRT1
1 SimulatedProtein3 SimulatedProtein3.Peptide1  11.6975881649 TRT1.2 TRT1
1 SimulatedProtein3 SimulatedProtein3.Peptide1  10.200455617 TRT2.1 TRT2
1 SimulatedProtein3 SimulatedProtein3.Peptide1  9.58842323391 TRT2.2 TRT2
1 SimulatedProtein3 SimulatedProtein3.Peptide2  7.88589195106 CTL.1 CTL
1 SimulatedProtein3 SimulatedProtein3.Peptide2  8.13332183588 CTL.2 CTL
1 SimulatedProtein3 SimulatedProtein3.Peptide2  8.94398428007 TRT1.1 TRT1
1 SimulatedProtein3 SimulatedProtein3.Peptide2  9.18264546672 TRT1.2 TRT1
1 SimulatedProtein3 SimulatedProtein3.Peptide2  8.05261102611 TRT2.1 TRT2
1 SimulatedProtein3 SimulatedProtein3.Peptide2  8.05045482128 TRT2.2 TRT2
1 SimulatedProtein3 SimulatedProtein3.Peptide3  4.38802216388 CTL.1 CTL
1 SimulatedProtein3 SimulatedProtein3.Peptide3  4.47673706254 CTL.2 CTL
1 SimulatedProtein3 SimulatedProtein3.Peptide3  5.71991707369 TRT1.1 TRT1
1 SimulatedProtein3 SimulatedProtein3.Peptide3  5.75452155329 TRT1.2 TRT1
1 SimulatedProtein3 SimulatedProtein3.Peptide3  4.86286785471 TRT2.1 TRT2
1 SimulatedProtein3 SimulatedProtein3.Peptide3  4.5873213292 TRT2.2 TRT2
1 SimulatedProtein3 SimulatedProtein3.Peptide4  6.00912126086 CTL.1 CTL
1 SimulatedProtein3 SimulatedProtein3.Peptide4  6.68640323306 CTL.2 CTL
1 SimulatedProtein3 SimulatedProtein3.Peptide4  7.4313903182 TRT1.1 TRT1
1 SimulatedProtein3 SimulatedProtein3.Peptide4  7.55335400935 TRT1.2 TRT1
1 SimulatedProtein3 SimulatedProtein3.Peptide4  6.7748866863 TRT2.1 TRT2
1 SimulatedProtein3 SimulatedProtein3.Peptide4  6.87300980634 TRT2.2 TRT2
1 SimulatedProtein3 SimulatedProtein3.Peptide5  13.6648111945 CTL.1 CTL
1 SimulatedProtein3 SimulatedProtein3.Peptide5  14.6021054942 CTL.2 CTL
1 SimulatedProtein3 SimulatedProtein3.Peptide5  15.2969337621 TRT1.1 TRT1
1 SimulatedProtein3 SimulatedProtein3.Peptide5  15.5360682087 TRT1.2 TRT1
1 SimulatedProtein3 SimulatedProtein3.Peptide5  13.9932292993 TRT2.1 TRT2
1 SimulatedProtein3 SimulatedProtein3.Peptide5  14.376675605 TRT2.2 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide1  14.8062693322 CTL.1 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide1  14.8709164858 CTL.2 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide1  15.0717072279 TRT1.1 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide1  14.6590556262 TRT1.2 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide1  13.9810700323 TRT2.1 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide1  13.3316856645 TRT2.2 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide2  11.7020867133 CTL.1 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide2  11.7326882702 CTL.2 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide2  12.4395878518 TRT1.1 TRT1
